elapsed_seconds,alpha,theta,beta,stillness,valid
337,0.22117076287934279,0.11110025597752654,0.24797342019629684,0.9828838537526504,1
338,0.2221723246827623,0.11088616004628485,0.24917413038421476,0.982985038225976,1
339,0.2190261171960958,0.10760490868614406,0.24339741015043442,0.9828154238304488,1
340,0.2112961482591959,0.10320245337728123,0.23942691088237228,0.9826808910962693,1
341,0.1973872848370369,0.10085692116353079,0.2388909684961655,0.9827521855280429,1
342,0.20388384036894572,0.09965182398687472,0.23234782385071112,0.9826796914067615,1
343,0.2101581454148744,0.09645846529043764,0.2312058501602782,0.9825344385796921,1
344,0.20693601653625038,0.10115218406324848,0.22655273420305633,0.9827635281689733,1
345,0.20095725777203508,0.10668193421212432,0.2208911519630133,0.9826936537814912,1
346,0.19583860831667813,0.11028843661367638,0.21621236354554554,0.9825195237821807,1
347,0.19174368875239256,0.11317363853491802,0.21246933281157135,0.9825401451116357,1
348,0.1855961056478439,0.12238487923210012,0.21089182252675445,0.9819201272494413,1
349,0.17919969004049296,0.13579088694771235,0.2080940675749103,0.9825328127634934,1
350,0.17408255755461222,0.14651569312020213,0.205855863613435,0.9827102928725134,1
351,0.192005662187019,0.14473245525664785,0.20403951166192172,0.9830172694790578,1
352,0.21466659209876138,0.13714750976646128,0.19936102610781817,0.9830281894066033,1
353,0.22968722362820695,0.1285399132952271,0.19501536473692857,0.9833272777840811,1
354,0.23962635792607312,0.12505335858682645,0.18813372054311514,0.9827909912403727,1
355,0.24348265760907142,0.12368684987088951,0.18184674656442798,0.9825350831786932,1
356,0.24656769735547007,0.12259364289813997,0.17681716738147824,0.9825011182110696,1
357,0.24903572915258898,0.12171907731994033,0.17279350403511845,0.9823705381875054,1
358,0.23917548793039584,0.12180983244385793,0.16883973670139382,0.9827112021255047,1
359,0.22331941893021526,0.12100444485938627,0.17677081174357226,0.982699453289098,1
360,0.2156208922026152,0.12319652053287244,0.18804153710102386,0.9828809522661162,1
361,0.20751852893296327,0.1261738655127495,0.19936523958586738,0.982796776891594,1
362,0.2010366383172417,0.12855574149665117,0.2084242015737422,0.9827486703504823,1
363,0.1941504871107048,0.1282208593484976,0.19979336308152174,0.982591656555653,1
364,0.18883077418497435,0.12974450320608136,0.1915681798339221,0.9827924664063407,1
365,0.1818299516761389,0.13382605904772704,0.1851678276814977,0.9824668007428534,1
366,0.17622929366907056,0.13709130372104358,0.18004754595955816,0.9824215118704994,1
367,0.17174876726341587,0.13970349945969682,0.17595132058200652,0.9825096717662862,1
368,0.16816434613889214,0.1417932560506194,0.17267434027996523,0.9826765536563767,1
369,0.16529680923927315,0.14346506132335746,0.1700527560383322,0.9825117805048246,1
370,0.16300277971957797,0.14480250554154792,0.16795548864502577,0.9824556856650788,1
371,0.1611675561038218,0.1458724609161003,0.16627767473038063,0.9827337764158192,1
372,0.15969937721121688,0.14672842521574217,0.1649354235986645,0.9822657354588361,1
373,0.15852483409713294,0.14741319665545569,0.1638616226932916,0.9830656172745924,1
374,0.15758519960586578,0.14796101380722648,0.16300258196899328,0.9832743179677195,1
